file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,3b2c5c79,Manning Karahashi,2026-04-03,01:59:08,-07:00,2026-04-03T01:59:08-07:00,0,4
style.css,2,css,3b2c5c79,Manning Karahashi,2026-04-03,01:59:08,-07:00,2026-04-03T01:59:08-07:00,1,23
style.css,3,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,15
style.css,4,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,43
style.css,5,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,12
style.css,6,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,7,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,8,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,5
style.css,9,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,6
style.css,10,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,16
style.css,11,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,12,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,13,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,3
style.css,14,css,b21abf60,Manning Karahashi,2026-04-16,18:49:32,-07:00,2026-04-16T18:49:32-07:00,1,39
style.css,15,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,12
style.css,16,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,17
style.css,17,css,b21abf60,Manning Karahashi,2026-04-16,18:49:32,-07:00,2026-04-16T18:49:32-07:00,1,43
style.css,18,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,19,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,20,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,5
style.css,21,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,6
style.css,22,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,20
style.css,23,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,13
style.css,24,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,17
style.css,25,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,13
style.css,26,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,27,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,28,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,13
style.css,29,css,b21abf60,Manning Karahashi,2026-04-16,18:49:32,-07:00,2026-04-16T18:49:32-07:00,1,45
style.css,30,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,20
style.css,31,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,32,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,33,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,5
style.css,34,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,31
style.css,35,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,36,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,37,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,11
style.css,38,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,1,45
style.css,39,css,b21abf60,Manning Karahashi,2026-04-16,18:49:32,-07:00,2026-04-16T18:49:32-07:00,1,69
style.css,40,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,41,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,0
style.css,42,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,3
style.css,43,css,665e242f,Manning Karahashi,2026-04-09,18:13:06,-07:00,2026-04-09T18:13:06-07:00,0,4
